ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,RCS,WheelSpdFl,WheelSpdFR,WheelSpdRL,WheelSpdRR,YawRate,frameIntervalTimeZ4,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,noise,using,DbfMag,FrameIntervalTime,installAngleOffset,VehLatAcc,VehLongAcc,matchFlag,tag,deltaRange,clusterID,idx,objLen,weight,MeasCounter,MAtr,SteeringAngle,SteeringAngleSpd,EstCarSpeed,Gear,isDmlMode,waveType,sideSlobe0,sideSlobe1,sideSlobe2,peakNum1,peakNum2,AlgTeam,ObstacleProb,scene,errorCode
START,FrameNb:0,CameraNb:0,HeSaiNb:0,ARS410Nb:0
2025/11/20 11:33:31:761---->
heightOffset:0,1763609611761,0,selfCaliBufCnt:0,selfAccObjCnt:0,selfAccAngle:0,installHAngleOffset:0,Interpolation:0,installVAngleOffset:0,radarOffsetH:0,radarOffsetV:0,Polynom:0;0;0;0;0;0;0;0;0;0;0;0,WheelDirection:0;0;0;0,selfAngleOffset:0,selfAngleOffsetPit:0,selfCaliAngleHrz_H:0,selfCaliAnglePit_H:0
58,79,-18.46,-1.8,18.3,0,18.549,0,-4,0,0,0,0,-10,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,56,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,82.4,-18.56,-1.6,16.4,0,18.549,0,0,0,0,0,0,-9,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,54,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,85.42,-18.54,4,21.3,0,18.549,0,0,0,0,0,0,-5,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,59,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,90.04,-18.54,-2.3,21.1,0,18.549,0,2,0,0,0,0,-4,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,58,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,92.34,-18.54,-1.6,25.3,0,18.549,0,2,0,0,0,0,0,0,0,0,0,0.00366211,0,0,0,0,0,0,3.6174e-26,2.14723e-38,0,0,62,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,93.94,-18.54,3.6,24.4,0,18.549,0,1,0,0,0,0,-6,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,62,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,108.66,-18.52,3.2,16.4,0,18.549,0,-1,0,0,0,0,0,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,54,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,111.12,-18.56,-1.4,22.4,0,18.549,0,1,0,0,0,0,0,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,60,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,15.14,-17.12,23,40.8,0,18.549,0,1,0,0,0,0,5,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,86,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,18.6,-17.58,19.2,35.2,0,18.549,0,1,0,0,0,0,-2,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,80,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,18.96,-17.42,19.2,23.2,0,18.549,0,5,0,0,0,0,-17,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,68,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,20.36,-17.58,18,19.9,0,18.549,0,7,0,0,0,0,-14,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,64,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,21.42,-17.8,15.8,27.8,0,18.549,0,-1,0,0,0,0,-9,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,72,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,22.88,-17.9,14.8,22.9,0,18.549,0,6,0,0,0,0,-14,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,26.18,-17.72,18,18.2,0,18.549,0,0,0,0,0,0,-16,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,61,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,28.46,-18.16,12.2,25.2,0,18.549,0,-2,0,0,0,0,-8,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,35.66,-18.3,10.4,26.8,0,18.549,0,4,0,0,0,0,-10,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,68,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,42.52,-18.38,8.2,24.3,0,18.549,0,6,0,0,0,0,-8,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,64,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,50.1,-18.44,7,18.9,0,18.549,0,2,0,0,0,0,-12,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,58,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,54,-18.46,6.5,37.8,0,18.549,0,-1,0,0,0,0,6,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,77,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,57.2,-18.46,6.3,22.7,0,18.549,0,5,0,0,0,0,-8,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,61,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
END,Total:0
START,FrameNb:1,CameraNb:0,HeSaiNb:0,ARS410Nb:0
2025/11/20 11:33:31:860---->
heightOffset:0,1763609611860,0,selfCaliBufCnt:0,selfAccObjCnt:0,selfAccAngle:0,installHAngleOffset:0,Interpolation:0,installVAngleOffset:0,radarOffsetH:0,radarOffsetV:0,Polynom:0;0;0;0;0;0;0;0;0;0;0;0,WheelDirection:0;0;0;0,selfAngleOffset:0,selfAngleOffsetPit:0,selfCaliAngleHrz_H:0,selfCaliAnglePit_H:0
0,181.22,17.14,4,12.7,0,18.6116,0,0,1.23258e-32,0,0,0,-2,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,50,124,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,183.76,17.12,0.5,14.8,0,18.6116,0,-1,0,0,0,0,0,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,52,124,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,255.64,-0.18,2.1,21.1,0,18.6116,0,0,0,0,0,0,9,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,55,124,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,255.74,-0.16,1,24,0,18.6116,0,0,0,0,0,0,-18,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,58,124,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,8.26,-17.54,-19.5,21.8,0,18.6116,0,2,0,0,0,0,12,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,70,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,8.66,-17.6,-18.7,28.8,0,18.6116,0,2,0,0,0,0,-11,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,77,124,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,8.34,-17.42,-20.6,22.5,0,18.6116,0,2,0,0,0,0,-17,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,70,124,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,8.88,-17.56,-19.1,22.2,0,18.6116,0,1,0,0,0,0,-17,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,70,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,10.04,-17.84,-15.8,22.8,0,18.6116,0,1,0,0,0,0,-15,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,70,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,9.98,-17.76,-17.1,25,0,18.6116,0,0,0,0,0,0,-18,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,72,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,10.24,-17.5,-17.3,23.1,0,18.6116,0,6,0,0,0,0,-17,0,0,0,0,-0.00659181,0,0,0,0,0,0,0,0,0,0,70,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
